R1,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
R4,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.709694,0.737048,0.73692,0.709694,0.737048,0.73692,0.709694,0.737048,0.73692,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,1,1,1,1,1,1,1,1,1
15,0.659768,0.685611,0.642395,0.666772,0.661387,0.64475,0.666407,0.675159,0.690218,0.960938,0.972616,0.969472,0.959191,0.957858,0.964808,0.967209,0.966543,0.968536,0.968925,0.980089,0.976998,0.968189,0.967574,0.972612,0.977158,0.975849,0.977485,1,1,1,1,1,1,1,1,1
30,0.688717,0.662834,0.650899,0.623115,0.591722,0.587115,0.685227,0.59347,0.584998,0.953662,0.952618,0.948497,0.938765,0.921421,0.921668,0.944649,0.933198,0.927948,0.96363,0.963536,0.958358,0.953006,0.937147,0.935622,0.956912,0.94857,0.943779,1,1,1,1,1,1,1,1,1
45,0.585466,0.567961,0.613701,0.615514,0.591386,0.539231,0.497688,0.586241,0.509643,0.918949,0.917204,0.914947,0.897543,0.901605,0.903645,0.9036,0.907397,0.89814,0.93329,0.931245,0.929195,0.91175,0.915758,0.918783,0.921023,0.924543,0.916497,1,1,1,1,1,1,1,1,1
60,0.51855,0.524201,0.563036,0.458844,0.492713,0.485496,0.60863,0.546141,0.509147,0.868401,0.869249,0.878671,0.8453,0.8552,0.849895,0.891021,0.88434,0.875981,0.885437,0.886635,0.894684,0.864782,0.877283,0.868126,0.912584,0.90529,0.899891,1,1,1,1,1,1,1,1,1
75,0.487285,0.488717,0.491537,0.47054,0.434381,0.414202,0.401254,0.405078,0.421211,0.843207,0.839396,0.846354,0.835148,0.820323,0.819887,0.809632,0.801868,0.804117,0.862167,0.856218,0.862165,0.854103,0.837314,0.838132,0.830554,0.825131,0.831166,1,1,1,1,1,1,1,1,1
90,0.462218,0.476326,0.459502,0.419961,0.4507,0.436733,0.38569,0.397711,0.399419,0.769412,0.778803,0.780337,0.795287,0.799892,0.803298,0.782555,0.779578,0.784479,0.790776,0.798704,0.80108,0.812364,0.815378,0.822638,0.806822,0.802639,0.806567,1,1,1,1,1,1,1,1,1
105,0.361439,0.377143,0.370833,0.409147,0.387092,0.40571,0.3505,0.3478,0.350526,0.736689,0.749975,0.753582,0.761722,0.763266,0.769704,0.754652,0.737104,0.75583,0.755614,0.768605,0.77408,0.777523,0.782754,0.784411,0.777133,0.759219,0.779255,1,1,1,1,1,1,1,1,1
120,0.395186,0.391157,0.371464,0.369838,0.350885,0.39568,0.3496,0.32671,0.352764,0.746954,0.721132,0.72837,0.729738,0.734776,0.732259,0.704604,0.719971,0.727527,0.762239,0.736351,0.746037,0.746616,0.752803,0.747005,0.72268,0.737719,0.748274,1,1,1,1,1,1,1,1,1
135,0.354467,0.362847,0.355386,0.355547,0.338553,0.366651,0.277652,0.293389,0.283672,0.701258,0.702408,0.690033,0.70419,0.705479,0.702638,0.646297,0.666365,0.650734,0.71452,0.713369,0.705707,0.721274,0.722691,0.717345,0.667689,0.685154,0.668644,1,1,1,1,1,1,1,1,1
150,0.197497,0.211423,0.202857,0.161854,0.200073,0.185291,0.152377,0.147929,0.157067,0.539973,0.539985,0.540474,0.51595,0.531377,0.531784,0.512207,0.504587,0.51387,0.553166,0.553446,0.554349,0.533288,0.547163,0.531784,0.531796,0.523462,0.533969,1,1,1,1,1,1,1,1,1
165,0.176315,0.169016,0.197172,0.147766,0.14472,0.15147,0.114797,0.123765,0.144288,0.519637,0.501652,0.540047,0.484601,0.466715,0.497668,0.436943,0.441672,0.46086,0.519637,0.501652,0.540047,0.505319,0.485001,0.497668,0.45669,0.461255,0.479421,1,1,1,1,1,1,1,1,1
180,0.154426,0.158653,0.153184,0.203429,0.19037,0.17622,0.143623,0.148708,0.139255,0.470023,0.456388,0.455009,0.526482,0.495275,0.50205,0.497405,0.47145,0.484834,0.483027,0.470137,0.468569,0.544904,0.513376,0.50205,0.515376,0.488695,0.501378,1,1,1,1,1,1,1,1,1
195,0.160697,0.166195,0.168361,0.176919,0.186421,0.175971,0.181121,0.182772,0.171861,0.479744,0.458878,0.443114,0.506115,0.492929,0.484643,0.506507,0.487114,0.495631,0.492334,0.473697,0.456219,0.522239,0.51147,0.484643,0.522912,0.503109,0.512256,1,1,1,1,1,1,1,1,1
210,0.145524,0.161325,0.163114,0.181855,0.160408,0.151201,0.170237,0.153751,0.171462,0.456449,0.459244,0.448513,0.454475,0.466389,0.439435,0.473462,0.474869,0.483327,0.467719,0.472268,0.457561,0.471064,0.484159,0.451381,0.491512,0.492932,0.499157,1,1,1,1,1,1,1,1,1
225,0.170747,0.150654,0.152415,0.160651,0.149871,0.164461,0.152435,0.136508,0.130543,0.467048,0.438023,0.441755,0.435222,0.418402,0.439762,0.433193,0.425513,0.438612,0.477058,0.450832,0.454641,0.451486,0.434248,0.439762,0.448142,0.440628,0.452139,1,1,1,1,1,1,1,1,1
240,0.164643,0.148483,0.1486,0.15672,0.149886,0.161929,0.191975,0.17963,0.188976,0.430239,0.417538,0.417481,0.413617,0.420097,0.411116,0.470544,0.454831,0.490653,0.438597,0.428394,0.428867,0.428971,0.433936,0.411116,0.485274,0.46994,0.504406,1,1,1,1,1,1,1,1,1
255,0.157309,0.172441,0.165934,0.124728,0.107371,0.126392,0.175145,0.168455,0.173457,0.434265,0.441531,0.432754,0.340095,0.3344,0.332052,0.465389,0.435238,0.446215,0.440849,0.451235,0.439154,0.351686,0.3344,0.332052,0.47691,0.448252,0.461674,1,1,1,1,1,1,1,1,1
270,0.154628,0.162937,0.144079,0.1252,0.119092,0.111673,0.088668,0.100609,0.11528,0.398003,0.408238,0.400015,0.360998,0.342826,0.337777,0.287897,0.309914,0.32347,0.405683,0.420157,0.411664,0.372122,0.342826,0.337777,0.308733,0.323677,0.342922,1,1,1,1,1,1,1,1,1
285,0.204749,0.199885,0.185172,0.232511,0.242458,0.259713,0.200082,0.363018,0.218831,0.476477,0.440954,0.432874,0.487424,0.518251,0.5204,0.443369,0.548775,0.468038,0.485373,0.452085,0.442817,0.497439,0.528109,0.528767,0.456312,0.561058,0.482253,1,1,1,1,1,1,1,1,1
300,0.185301,0.221708,0.210812,0.209809,0.200642,0.204031,0.188556,0.19392,0.201988,0.436401,0.446628,0.445263,0.45275,0.45413,0.420784,0.425139,0.438687,0.440159,0.445787,0.457053,0.455152,0.464541,0.46536,0.429044,0.438289,0.452445,0.453146,1,1,1,1,1,1,1,1,1
315,0.18808,0.173522,0.180106,0.188086,0.193301,0.206557,0.195214,0.190171,0.195535,0.446464,0.401326,0.402797,0.447042,0.452721,0.485873,0.449659,0.431111,0.427741,0.454962,0.410108,0.412319,0.458403,0.464325,0.495678,0.462069,0.44539,0.438041,1,1,1,1,1,1,1,1,1
330,0.295141,0.321143,0.302107,0.25444,0.230101,0.221778,0.181008,0.194234,0.19647,0.529336,0.542245,0.532262,0.421145,0.404542,0.386448,0.444967,0.420546,0.42408,0.535997,0.549457,0.539792,0.429481,0.414744,0.393695,0.458922,0.432359,0.435685,1,1,1,1,1,1,1,1,1
R5,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,0.709694,0.737048,0.73692,0.709694,0.737048,0.73692,0.709694,0.737048,0.73692,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,0.994834,0.994618,0.994255,1,1,1,1,1,1,1,1,1
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0.2064066,0.2082998,,,,,,,,0.8672132,0.8677172,,,,,,,,0.8798108,0.8865551,,,,,,,,1,1,,,,,,
45,0.142317,0.1820948,0.1497294,,,,,,,0.8221363,0.7709992,0.7901489,,,,,,,0.8221363,0.7852924,0.8068308,,,,,,,1,1,1,,,,,,
60,0.1590203,0.145708,0.1331134,,,,,,,0.7238632,0.7445269,0.7433899,,,,,,,0.7238632,0.7448135,0.7614908,,,,,,,1,1,1,,,,,,
75,0.08934572,0.1115647,0.05797721,,,,,,,0.689419,0.663658,0.6932274,,,,,,,0.689419,0.6865105,0.6932274,,,,,,,1,1,1,,,,,,
90,0.08635012,0.1181386,0.08454335,,,,,,,0.6148306,0.6206111,0.6257684,,,,,,,0.6148306,0.6333871,0.6257684,,,,,,,1,1,1,,,,,,
105,0.1018581,0.08092948,0.09407409,,,,,,,0.5751797,0.5577474,0.6188312,,,,,,,0.5751797,0.5763661,0.63232,,,,,,,1,1,1,,,,,,
120,0.0687226,0.08523367,0.1086499,,,,,,,0.5004826,0.5274882,0.5654082,,,,,,,0.5004826,0.5274882,0.5654082,,,,,,,1,1,1,,,,,,
135,0.07711591,0.0759915,0.06333452,,,,,,,0.4684902,0.454172,0.4771058,,,,,,,0.4684902,0.454172,0.4781589,,,,,,,1,1,1,,,,,,
150,0.05246764,0.06632896,0.06584658,,,,,,,0.4518484,0.4227526,0.4375987,,,,,,,0.4518484,0.4227526,0.4382849,,,,,,,1,1,1,,,,,,
165,0.07301459,0.03997912,0.05713744,,,,,,,0.437134,0.4102281,0.397656,,,,,,,0.437134,0.4102281,0.397656,,,,,,,1,1,1,,,,,,
180,0.06772886,0.03887854,0.04268914,,,,,,,0.4024041,0.455841,0.3446867,,,,,,,0.4024041,0.455841,0.3446867,,,,,,,1,1,1,,,,,,
195,0.05266318,0.04018899,0.03925793,,,,,,,0.3438482,0.3652258,0.3636039,,,,,,,0.3438482,0.3652258,0.3636039,,,,,,,1,1,1,,,,,,
210,0.05304012,0.05695131,0.05253737,,,,,,,0.3353116,0.3949972,0.2979797,,,,,,,0.3353116,0.3949972,0.2979797,,,,,,,1,1,1,,,,,,
